longteam,team,shortteam
Arizona Cardinals,Cardinals,ARI
Atlanta Falcons,Falcons,ATL
Baltimore Ravens,Ravens,BAL
Buffalo Bills,Bills,BUF
Carolina Panthers,Panthers,CAR
Chicago Bears,Bears,CHI
Cincinnati Bengals,Bengals,CIN
Cleveland Browns,Browns,CLE
Dallas Cowboys,Cowboys,DAL
Denver Broncos,Broncos,DEN
Detroit Lions,Lions,DET
Green Bay Packers,Packers,GB
Houston Texans,Texans,HOU
Indianapolis Colts,Colts,IND
Jacksonville Jaguars,Jaguars,JAX
Kansas City Chiefs,Chiefs,KC
Las Vegas Raiders,Raiders,LV
Los Angeles Chargers,Chargers,LAC
Los Angeles Rams,Rams,LAR
Miami Dolphins,Dolphins,MIA
Minnesota Vikings,Vikings,MIN
New England Patriots,Patriots,NE
New Orleans Saints,Saints,NO
New York Giants,Giants,NYG
New York Jets,Jets,NYJ
Philadelphia Eagles,Eagles,PHI
Pittsburgh Steelers,Steelers,PIT
San Francisco 49ers,49ers,SF
Seattle Seahawks,Seahawks,SEA
Tampa Bay Buccaneers,Buccaneers,TB
Tennessee Titans,Titans,TEN
Washington Commanders,Commanders,WAS
